date;solarweb_einspeisung_kwh;pv_einspeisung_kwh;delta_einspeisung_kwh;solarweb_in_batt_kwh;pv_in_batt_kwh;delta_in_batt_kwh;solarweb_wattpilot_kwh;pv_wattpilot_kwh;delta_wattpilot_kwh;solarweb_direkt_kwh;pv_direkt_kwh;delta_direkt_kwh;solarweb_gesamt_prod_kwh;pv_gesamt_prod_kwh;delta_gesamt_prod_kwh;solarweb_netzbezug_kwh;pv_netzbezug_kwh;delta_netzbezug_kwh;solarweb_out_batt_kwh;pv_out_batt_kwh;delta_out_batt_kwh;solarweb_verbrauch_kwh;pv_verbrauch_kwh;delta_verbrauch_kwh
2026-02-01;0.11;0.12;-0.01;6.22;9.71;-3.49;8.79;0.00;8.79;4.17;7.83;-3.66;19.29;21.44;-2.15;131.07;113.19;17.88;5.67;8.47;-2.80;149.70;135.57;14.13
2026-02-02;0.15;0.25;-0.10;5.98;8.19;-2.21;4.86;0.00;4.86;11.40;15.85;-4.45;22.39;25.67;-3.28;26.86;25.21;1.65;5.02;7.25;-2.23;48.13;48.15;-0.02
2026-02-03;0.10;0.19;-0.09;5.82;8.14;-2.32;6.77;0.00;6.77;6.20;12.78;-6.58;18.89;23.06;-4.17;46.51;43.38;3.13;5.38;8.12;-2.74;64.86;64.73;0.13
2026-02-04;0.27;0.27;0.00;7.93;7.93;0.00;0.00;0.00;0.00;18.23;18.22;0.01;26.43;26.43;0.00;27.58;27.58;0.00;7.51;7.51;0.00;53.31;53.31;0.00
2026-02-05;0.02;0.05;-0.03;0.27;0.85;-0.58;10.44;0.00;10.44;5.39;39.32;-33.93;16.13;33.11;-16.98;58.80;100.65;-41.85;0.00;0.00;0.00;74.64;132.76;-58.12
2026-02-06;0.10;0.10;0.00;6.60;5.89;0.71;9.30;0.00;9.30;5.16;15.17;-10.01;21.16;21.15;0.01;75.63;77.39;-1.76;6.23;4.67;1.56;96.31;98.44;-2.13
2026-02-07;0.30;0.33;-0.03;8.32;8.00;0.32;0.00;0.00;0.00;10.40;10.54;-0.14;19.02;18.86;0.16;20.29;18.95;1.34;7.99;6.97;1.02;38.68;37.48;1.20
2026-02-08;0.00;0.01;-0.01;0.27;0.63;-0.36;13.17;0.00;13.17;0.50;13.30;-12.80;13.94;13.94;0.00;114.30;114.52;-0.22;0.00;0.00;0.00;127.97;128.46;-0.49
2026-02-09;0.22;0.24;-0.02;9.29;9.05;0.24;0.00;0.00;0.00;11.61;11.54;0.07;21.12;20.84;0.28;27.92;26.05;1.87;8.77;7.68;1.09;48.30;46.64;1.66
2026-02-10;0.82;0.82;0.00;10.09;9.90;0.19;25.20;0.00;25.20;25.88;50.22;-24.34;61.99;60.94;1.05;10.88;10.44;0.44;9.29;8.07;1.22;71.25;70.55;0.70
2026-02-11;0.24;0.28;-0.04;9.03;8.58;0.45;0.00;0.00;0.00;16.02;14.47;1.55;25.29;23.31;1.98;8.62;8.26;0.36;8.48;7.45;1.03;33.12;31.29;1.83
2026-02-12;0.78;0.83;-0.05;15.64;13.22;2.42;25.50;21.13;4.37;7.05;34.52;-27.47;48.97;48.54;0.43;6.14;7.52;-1.38;14.89;11.42;3.47;53.58;55.22;-1.64
2026-02-13;0.12;0.00;0.12;2.77;0.02;2.75;0.02;32.11;-32.09;3.15;0.08;3.07;6.06;0.10;5.96;59.33;47.30;12.03;2.56;0.89;1.67;65.06;47.40;17.66
2026-02-14;0.10;0.09;0.01;2.34;1.81;0.53;0.00;0.00;0.00;5.61;3.89;1.72;8.05;5.69;2.36;31.43;19.28;12.15;2.16;1.72;0.44;39.20;24.88;14.32
2026-02-15;0.78;0.81;-0.03;10.07;8.57;1.50;41.44;41.88;-0.44;8.18;51.29;-43.11;60.47;60.47;0.00;17.91;17.28;0.63;11.46;8.67;2.79;78.99;76.95;2.04
2026-02-16;0.31;0.30;0.01;4.50;4.75;-0.25;12.19;14.21;-2.02;7.12;19.42;-12.30;24.12;24.11;0.01;32.50;31.80;0.70;3.84;3.14;0.70;55.66;55.60;0.06
2026-02-17;0.40;0.39;0.01;5.74;5.69;0.05;11.12;24.38;-13.26;5.89;17.07;-11.18;23.15;23.15;0.00;38.82;39.00;-0.18;5.17;4.48;0.69;61.00;61.76;-0.76
2026-02-18;0.30;0.28;0.02;5.39;5.11;0.28;8.98;40.74;-31.76;8.25;17.60;-9.35;22.92;22.92;0.00;56.12;54.80;1.32;4.95;3.86;1.09;78.31;77.43;0.88
2026-02-19;0.56;;;4.64;;;36.00;0.00;36.00;9.73;;;50.94;;;27.76;;;2.94;;;76.43;;
