month,heizpatrone_kwh,netz_bezug_kwh,netz_einspeisung_kwh,batt_entladung_kwh,batt_ladung_kwh,direktverbrauch_kwh,solar_erzeugung_kwh,wattpilot_kwh,gesamt_verbrauch_kwh
2024-01,60.68,562.53,4.49,157.72,165.63,341.37,499.1,0,1061.62
2024-02,112.6,254.32,5.54,206.33,217.32,406.14,612.5,0,866.79
2024-03,360.81,68.94,14.92,280,302.32,736.83,1016.8,0,1085.77
2024-04,351.9,39.5,26.8,278.6,292.9,658.7,1113.3,175.9,1152.75
2024-05,435.5,70.2,35.0,301.7,320.8,789.5,1416.4,325.2,1486.53
2024-06,412.6,76.8,44.0,254.9,267.4,812.7,1453.3,385.7,1530.01
2024-07,210.4,73.9,73.5,221.9,238.8,661.8,1051.1,167.4,1124.99
2024-08,310.2,88.1,49.0,350.1,371.7,729.5,1656.3,576.7,1744.33
2024-09,194.7,309.6,11.6,292.8,306.3,390.4,1123.8,440.6,1433.45
2024-10,130.83,223.65,7.8,305.05,323.18,399.64,1041.5,336.8,1265.11
2024-11,21.15,811.71,4.3,172.59,181.94,193.15,541.1,175.3,1352.76
2024-12,12.84,1331.87,2.56,124.75,130.98,192.87,460.3,142.7,1792.19
