date;einspeisung_kwh;in_batt_kwh;wattpilot_kwh;direkt_kwh;gesamt_prod_kwh;netzbezug_kwh;out_batt_kwh;verbrauch_kwh
2026-01-01;0.19;4.58;0.00;4.88;9.65;32.19;4.25;41.32
2026-01-02;0.10;3.11;0.22;9.87;13.30;35.19;2.76;48.04
2026-01-03;0.65;10.18;13.77;7.97;32.57;46.71;10.75;79.19
2026-01-04;0.21;7.54;3.19;5.86;16.80;39.37;7.49;55.91
2026-01-05;0.17;2.03;16.46;6.52;25.18;32.06;1.71;56.75
2026-01-06;0.41;6.84;8.30;6.41;21.96;29.91;5.65;50.27
2026-01-07;0.40;7.44;44.34;21.55;73.73;41.64;7.37;114.89
2026-01-08;0.05;3.40;0.00;14.11;17.56;36.64;2.95;53.70
2026-01-09;0.13;3.70;6.35;0;10.18;32.74;3.37;42.46
2026-01-10;0.35;8.04;8.25;4.93;21.57;33.60;8.45;55.22
2026-01-11;0.49;6.90;41.00;12.59;60.98;25.58;6.41;85.59
2026-01-12;0.06;6.85;0.00;3.27;10.18;33.89;6.55;43.71
2026-01-13;0.36;9.69;1.61;5.88;17.54;19.02;9.19;35.70
2026-01-14;0.02;1.41;3.25;0;4.68;52.93;1.07;57.24
2026-01-15;0.20;5.37;3.82;2.20;11.59;59.05;4.86;69.94
2026-01-16;0.99;11.06;36.28;17.81;66.14;14.51;11.83;80.43
2026-01-17;0.18;5.13;19.68;0.92;25.91;36.01;4.78;61.39
2026-01-18;0.41;9.96;56.15;11.96;78.48;48.33;9.11;125.54
2026-01-19;0.33;10.32;40.91;25.95;77.51;10.03;10.43;87.32
2026-01-20;0.54;11.17;46.80;26.16;84.67;8.63;8.75;90.34
2026-01-21;0.38;7.47;32.44;0.00;40.29;9.10;6.85;48.39
2026-01-22;0.46;9.88;31.17;29.31;70.82;22.52;9.57;92.57
2026-01-23;0.65;11.07;34.37;8.46;54.55;11.33;9.89;64.06
2026-01-24;0.21;3.83;13.18;5.88;23.10;37.64;3.37;60.07
2026-01-25;0.08;0.88;6.49;3.85;11.30;48.33;0.59;59.26
2026-01-26;0.06;1.79;1.34;5.39;8.58;54.28;1.62;62.63
2026-01-27;0.02;0.23;3.79;5.47;9.51;49.98;0.01;59.25
2026-01-28;0.10;3.91;7.88;8.39;20.28;54.03;3.51;73.81
2026-01-29;0.15;6.69;0.08;7.34;14.26;65.32;6.88;79.63
2026-01-30;0.06;2.74;4.23;0.00;7.03;27.17;2.61;34.02
2026-01-31;0.14;2.95;11.84;5.35;20.28;53.75;4.39;75.33
